Klient Name,Email,Phone,Address
Jan Kowalski,jan.kowalski@example.com,1234567890,Krakow, ul. Lipowa 10
Anna Nowak,anna.nowak@example.com,2345678901,Warszawa, ul. Marszalkowska 15
Piotr Wisniewski,piotr.wisniewski@example.com,3456789012,Gdansk, ul. Dluga 3
Katarzyna Mazur,katarzyna.mazur@example.com,4567890123,Poznan, ul. Glowna 22
Michal Zielinski,michal.zielinski@example.com,5678901234,Wroclaw, ul. Kwiatowa 8
Joanna Wojcik,joanna.wojcik@example.com,6789012345,Lodz, ul. Narutowicza 5
Tomasz Kaminski,tomasz.kaminski@example.com,7890123456,Lublin, ul. Zamkowa 14
Magdalena Lewandowska,magdalena.lewandowska@example.com,8901234567,Szczecin, ul. Morska 20
Pawel Szymanski,pawel.szymanski@example.com,9012345678,Katowice, ul. Mickiewicza 12
Ewa Dabrowska,ewa.dabrowska@example.com,1023456789,Bialystok, ul. Koscielna 7
Grzegorz Baran,grzegorz.baran@example.com,1123456789,Torun, ul. Zeglarska 11
Zofia Krol,zofia.krol@example.com,1223456789,Kielce, ul. Sienkiewicza 6
Rafal Gorski,rafal.gorski@example.com,1323456789,Radom, ul. Planty 2
Agnieszka Jaworska,agnieszka.jaworska@example.com,1423456789,Gdynia, ul. Pilsudskiego 9
Jakub Lis,jakub.lis@example.com,1523456789,Olsztyn, ul. Warszawska 17
Monika Stepien,monika.stepien@example.com,1623456789,Rzeszow, ul. Rejtana 19
Adam Wozniak,adam.wozniak@example.com,1723456789,Opole, ul. Krakowska 23
Karolina Walczak,karolina.walczak@example.com,1823456789,Zielona Gora, ul. Nowa 4
Krzysztof Pietrzak,krzysztof.pietrzak@example.com,1923456789,Bydgoszcz, ul. Krolowej Jadwigi 2
Dorota Malinowska,dorota.malinowska@example.com,2023456789,Koszalin, ul. Zwyciestwa 10
